source_build,target_build,opcode,direction,seen,n,ok_exact,under_read,over_read,threw,consumed_p50,consumed_p90,home_n,home_over_read,home_p50,over_sigs,home_over_sigs,ks_vs_home,script_sha,env_sha,quality,state,reason,invariants,rule_version,sampling
2549,12,0x0051,IN,12,12,1,3,8,0,64,100,-,-,-,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ResetTime:Int64]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [field_#C:Int32]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ItemId:Int32]:1,-,-,f3a5e9149f72,750b3e3c91cc,PARTIAL,reject,over_read=8; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2550,12,0x0051,IN,12,12,1,3,8,0,64,100,-,-,-,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ResetTime:Int64]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [field_#C:Int32]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ItemId:Int32]:1,-,-,f3a5e9149f72,750b3e3c91cc,PARTIAL,reject,over_read=8; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2516,12,0x0052,IN,798,798,0,798,0,0,0,33,211,54,8,-,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [?:Int32]:54,0.801,ce93ebd25957,e531069fb1f2,STUB,reject,home decoder over-reads (54/211),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2521,12,0x0055,IN,902,902,0,75,827,0,80,80,313,0,99,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [x:Single]:741|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [z:Single]:62|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [object id:Int32]:24,-,0.994,690094e6efdb,e531069fb1f2,PARTIAL,reject,over_read=827; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2528,12,0x0055,IN,902,902,0,67,835,0,80,80,6,1,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:741|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:62|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ObjectId:Int32]:24|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EndServerTick:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [BuffObjectId:Int32]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [SkillLevel:Int16]:1|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [additionalEffect#:Int64]:1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [additionalEffect#:Int64]:1,0.982,71c37075a022,c7184ede6835,PARTIAL,reject,over_read=835; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2490,12,0x005A,IN,51,51,0,0,51,0,80,80,5,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [PetSkinId:Int32]:51,-,1.000,fc221c9c7b09,69bdf4f3d597,PARTIAL,reject,over_read=51; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2527,12,0x005A,IN,51,51,0,0,51,0,80,80,1,0,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [PetSkinId:Int32]:51,-,1.000,fc221c9c7b09,020efa056679,PARTIAL,reject,over_read=51; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2506,12,0x005E,IN,57,57,0,57,0,0,9,9,597,0,100,-,-,1.000,a0e92bb2f251,e531069fb1f2,STUB,insufficient,n=57 < floor 300,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x0063,IN,2799,1500,373,1126,1,0,1,100,87,0,100,NegativeLength: ReadBytes: negative length -# at offset #/# @  [id:Field]:1,-,0.361,620d6990ffa1,e531069fb1f2,STUB,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2518,12,0x0063,IN,2799,1500,373,1126,1,0,1,100,21,0,100,NegativeLength: ReadBytes: negative length -# at offset #/# @  [id:Field]:1,-,0.513,620d6990ffa1,e531069fb1f2,STUB,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
